"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02064V02491","Type of Milk","UNIT","VALUE"
"AKM02","Milk Sales (Dairy) for Human Consumption","198205","1982 May","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198205","1982 May","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198205","1982 May","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198206","1982 June","001","All Milk","Million Litres","41.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198206","1982 June","012","Whole Milk","Million Litres","41.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198206","1982 June","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198206","1982 June","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198206","1982 June","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198207","1982 July","001","All Milk","Million Litres","42.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","198207","1982 July","012","Whole Milk","Million Litres","42.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","198207","1982 July","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198207","1982 July","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198207","1982 July","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198208","1982 August","001","All Milk","Million Litres","41.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","198208","1982 August","012","Whole Milk","Million Litres","41.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","198208","1982 August","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198208","1982 August","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198208","1982 August","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198209","1982 September","001","All Milk","Million Litres","42.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198209","1982 September","012","Whole Milk","Million Litres","42.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198209","1982 September","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198209","1982 September","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198209","1982 September","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198210","1982 October","001","All Milk","Million Litres","42.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","198210","1982 October","012","Whole Milk","Million Litres","42.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","198210","1982 October","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198210","1982 October","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198210","1982 October","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198211","1982 November","001","All Milk","Million Litres","42"
"AKM02","Milk Sales (Dairy) for Human Consumption","198211","1982 November","012","Whole Milk","Million Litres","42"
"AKM02","Milk Sales (Dairy) for Human Consumption","198211","1982 November","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198211","1982 November","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198211","1982 November","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198212","1982 December","001","All Milk","Million Litres","41.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198212","1982 December","012","Whole Milk","Million Litres","41.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198212","1982 December","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198212","1982 December","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198212","1982 December","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198301","1983 January","001","All Milk","Million Litres","42"
"AKM02","Milk Sales (Dairy) for Human Consumption","198301","1983 January","012","Whole Milk","Million Litres","42"
"AKM02","Milk Sales (Dairy) for Human Consumption","198301","1983 January","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198301","1983 January","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198301","1983 January","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198302","1983 February","001","All Milk","Million Litres","39.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198302","1983 February","012","Whole Milk","Million Litres","39.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198302","1983 February","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198302","1983 February","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198302","1983 February","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198303","1983 March","001","All Milk","Million Litres","43.5"
